id	pdf_page	starred_heading	contains_editorial_star	first_line
7.25	22	0	0	We associate with words in the alphabet x, x−1 , y, y −1 , z, z −1 , . . . operations
7.26	23	0	0	The ordinal height of a variety of groups is, by definition, the supremum of
7.27	23	0	0	Is it true that the group SLn (q) contains, for sufficiently large q, a diagonal
7.28	23	0	0	Let G(K) be the Chevalley group over a commutative ring K associated with
7.31	23	0	0	Let A be a group of automorphisms of a finite non-abelian 2-group G acting
7.33	23	0	0	An elementary T I-subgroup V of a finite group G is said to be a subgroup
7.34	23	0	0	In many of the sporadic finite simple groups the 2-ranks of the centralizers of
7.35	23	0	0	What varieties of groups V have the following property: the group G/V(G) is
7.38	24	0	0	A variety of profinite groups is a non-empty class of profinite groups closed
7.39	24	0	0	Let G = a, b | ap = (ab)3 = b2 = (aσ ba2/σ b)2 = 1 , where p is a prime, σ is
7.41	24	0	0	(John S. Wilson). Is every linear SI-group an SN -group?          Yu. I. Merzlyakov
7.45	24	0	0	Does the Q-theory of the class of all finite groups (in the sense of 2.40) coincide
7.49	24	0	0	Let G be a finitely generated group, and N a minimal normal subgroup of G
7.50	24	0	0	Study the structure of the primitive permutation groups (finite and infinite),
7.51	24	0	0	What are the primitive permutation groups (finite and infinite) which have a
7.52	24	0	0	Describe the locally finite primitive permutation groups in which the centre of
7.54	24	0	0	Does there exist a group of infinite special rank which can be represented as a
7.55	24	0	0	Is it true that a group which is a product of two almost abelian subgroups is
7.56	25	0	0	(B. Amberg). Does a group satisfy the minimum (respectively, maximum)
7.57	25	0	0	a) A set of generators of a finitely generated group G consisting of the least
7.58	25	0	0	Suppose that F is an absolutely free group, R a normal subgroup of F , and
8.1	26	0	0	Characterize all groups (or at least all soluble groups) G and fields F such that
8.2	26	0	0	Let G be the amalgamated free product of two polycyclic groups, amalgamating
8.3	26	0	0	Let m and n be positive integers and p a prime. Let Pn (Zpm ) be the group of
8.4	26	0	0	Construct a finite nilpotent loop with no finite basis for its laws.
8.8	26	0	0	b) (D. V. Anosov). Does there exist a non-cyclic finitely presented group G which
8.9	26	0	0	(C. Chou). We say that a group G has property P if for every finite subset F
8.11	27	1	1	Consider the group
8.12	27	0	0	Let D0 denote the class of finite groups of deficiency zero, i. e. having a
8.14	27	0	0	b) Assume a group G is existentially closed in one of the classes LN+ , LSπ ,
8.15	27	0	0	(Well-known problem). Is every N    e -group a Z-group? For definitions, see
8.16	27	0	0	Is the class of all Z-groups closed under taking normal subgroups?
8.19	27	0	0	Which of the following properties of (soluble) varieties of groups are equivalent
8.21	27	0	0	If the commutator subgroup G′ of a relatively free group G is periodic, must
8.23	27	0	0	If the dihedral group D of order 18 is a section of a direct product A × B, must
8.24	27	0	0	Prove that every linearly ordered group of finite rank is soluble.
8.25	27	0	0	Does there exist an algorithm which recognizes by an identity whether it defines
8.27	28	0	0	Does the lattice of all varieties of groups possess non-trivial automorphisms?
8.29	28	0	0	Do there exist locally nilpotent groups with trivial centre satisfying the weak
8.30	28	0	1	Let X, Y be Fitting classes of soluble groups which satisfy the Lockett condition,
8.33	28	0	0	Let a, b be two elements
8.35	28	0	0	c) Determine the conjugacy classes of maximal subgroups in the sporadic
8.40	28	0	0	Describe the finite groups generated by a conjugacy class D of involutions
8.41	28	0	0	What finite groups G contain a normal set of involutions D which contains a
8.42	28	0	0	Describe the finite groups all of whose soluble subgroups of odd indices have
8.43	28	0	1	(F. Timmesfeld). Let T be a Sylow 2-subgroup of a finite group G. Suppose that
8.44	28	0	0	Prove or disprove that for all, but finitely many, primes p the group
8.45	28	0	0	When it follows that a group is residually a (X∩Y)-group, if it is both residually
8.50	29	0	0	At a conference in Oberwolfach in 1979 I exhibited a finitely generated soluble
8.51	29	1	1	(J. McKay). If G is a finite group and p a prime let m (G) denote the number
8.52	29	0	0	(Well-known problem).       Do there exist infinite finitely presented periodic
8.53	29	0	0	a) Let n be a sufficiently large odd number. Describe the automorphisms of
8.54	29	0	0	a) (Well-known problem). Classify metabelian varieties of groups (or show that
8.55	29	0	0	It is easy to see that the set of all quasivarieties of groups, in each of which
8.58	29	0	0	Does a locally compact locally nilpotent nonabelian group without elements of
8.59	29	0	0	Suppose that, in a locally compact locally nilpotent group G, all proper closed
8.60	29	0	0	Describe the locally compact primary locally soluble groups which are covered
8.62	29	0	0	Describe the locally compact locally pronilpotent groups for which the space of
8.64	29	0	0	Does the class of all finite groups possess an independent basis of quasiidenti-
8.67	30	0	0	Do there exist Golod groups all of whose abelian subgroups have finite ranks?
8.72	30	0	0	Does there exist a finitely presented group G which is not free or cyclic of prime
8.74	30	0	0	A subnormal subgroup H◁◁ G of a group G is said to be good if and only if
8.75	30	1	1	(A known problem). Suppose G is a finite primitive permutation group on
8.77	30	0	0	Do there exist strongly regular graphs with parameters λ = 0, µ = 2 of degree
8.78	30	0	0	It is known that there exists a countable locally finite group that contains a
8.79	30	0	0	Does there exist a countable infinite locally finite group G that is complete,
8.82	30	0	0	Let H = C × R = {(z, r) | z ∈ C, r > 0} be the three-dimensional Poincaré
8.83	31	0	0	In the notation of 8.82, for r(π) > 0, one can define via Hecke algebras a
8.85	31	0	0	Construct a finite p-group G whose Hughes subgroup Hp (G) = ⟨x ∈ G |
8.86	31	0	0	(Well-known problem). Suppose that all proper closed subgroups of a locally
9.1	32	0	0	A group G is said to be potent if, to each x ∈ G and each positive integer n
9.4	32	0	0	It is known that if M is a variety (quasivariety, pseudovariety) of groups, then
9.5	32	0	0	A variety of groups is called primitive if each of its subquasivarieties is a variety.
9.6	32	0	0	Is it true that an independent basis of quasiidentities of any finite group is finite?
9.7	32	0	0	(A. M. Stëpin). Does there exist an infinite finitely generated amenable group of
9.9	32	0	0	Does there exist a finitely generated group which is not nilpotent-by-finite
9.11	32	0	0	Is an abelian minimal normal subgroup A of a group G an elementary p-group
9.13	32	0	0	Is a soluble torsion-free group minimax if it satisfies the weak minimum condi-
9.14	32	0	0	Is a group locally finite if it decomposes into a product of periodic abelian
9.15	32	0	0	Describe, without using CFSG, all subgroups L of a finite Chevalley group G
9.17	32	0	0	b) Let G be a locally normal residually finite group. Does there exist a normal
9.19	33	0	0	a) Let n(X) denote the minimum of the indices of proper subgroups of a
9.23	33	0	0	Let G be a finite group, B a block of characters of G, D(B) its defect group
9.24	33	0	0	(J. G. Thompson). Conjecture: every finite simple non-abelian group G can be
9.26	33	0	0	b) Describe the finite groups of 2-local 3-rank 1 which have non-cyclic Sylow
9.28	33	0	0	Suppose that a finite group G is generated by a conjugacy class D of involutions
9.29	33	0	0	(Well-known problem). According to a classical theorem of Magnus, the word
9.31	33	0	0	Let k be a field of characteristic 0. According to (Yu. I. Merzlyakov, Proc. Stek-
9.35	33	0	0	A topological group is said to be inductively compact if any finite set of its
9.36	33	0	0	Characterize the lattices of closed subgroups in locally compact groups. In the
9.37	33	0	0	Is a compactly generated inductively prosoluble locally compact group pro-
9.38	34	0	0	A group is said to be compactly covered if it is the union of its compact sub-
9.39	34	0	0	Let Ω be a countable set and m a cardinal number such that ℵ0 ⩽ m ⩽ 2ℵ0
9.40	34	0	0	Let Ω be a countably infinite set. Define a moiety of Ω to be a subset Σ such
9.41	34	0	1	Let Ω be a countably infinite set. For k ⩾ 2 define a k-section of Ω to be a
9.42	34	1	1	Let Ω be a countable set and let D be the set of total order relations on Ω for
9.43	34	0	0	b) The group G indicated in (N. D. Podufalov, Abstracts of the 9th All–Union
9.44	34	0	0	A topological group is said to be layer compact if the full inverse images of all
9.45	34	0	0	Let a be a vector in Rn with rational coordinates and set
9.47	35	0	0	Is it true that every scattered compact can be homeomorphically embedded
9.51	35	0	0	Does there exist a finitely presented soluble group satisfying the maximum con-
9.52	35	0	0	Does a finitely presented soluble group of finite rank have soluble conjugacy
9.53	35	0	0	Is the isomorphism problem soluble for finitely presented soluble groups of
9.55	35	0	0	Does there exist a finite p-group G and a central augmented automorphism φ
9.57	35	0	0	The set of subformations of a given formation is a lattice with respect to
9.61	35	0	0	Two varieties are said to be S-equivalent if they have the same Mal’cev theory
9.65	35	0	0	Is a locally soluble group periodic if it is a product of two periodic subgroups?
9.66	35	1	1	a) B. Jonsson’s Conjecture: elementary equivalence is preserved under taking
9.68	35	0	0	Let V be a variety of groups which is not the variety of all groups, and let p
9.69	36	1	1	(P. Cameron). Let G be a finite primitive permutation group and suppose
9.70	36	0	0	Prove or disprove the conjecture of P. Cameron (Bull. London Math. Soc., 13,
9.71	36	0	0	Is it true that every infinite 2-transitive permutation groups with locally soluble
9.72	36	0	0	Let G1 and G2 be Lie groups with the following property: each Gi contains
9.75	36	0	0	Find all local formations F of finite groups such that, in every finite group, the
9.76	36	0	0	We define a Golod group to be the r-generated, r ⩾ 2, subgroup ⟨1 + x1 + I,
9.77	36	0	0	Does there exist an infinite finitely generated residually finite binary finite
9.78	36	0	1	Does there exist a periodic residually finite F ∗ -group (see Archive, 7.42) all of
9.83	37	0	0	Suppose that G is a (periodic) p-conjugacy biprimitively finite group (see 6.59)
9.84	37	0	0	a) Is every binary finite 2-group of finite exponent locally finite?
10.2	38	0	0	A mixed identity of a group G is, by definition, an identity of an algebraic system
10.3	38	0	0	Characterize (in terms of bases of mixed identities or in terms of generating
10.4	38	0	0	Let p be a prime number. Is it true that a mixed variety of groups generated by
10.5	38	0	0	Construct an example of a finite group whose mixed identities do not have a
10.8	38	0	0	Does there exist a topological group which cannot be embedded in the multi-
10.10	38	0	0	Is it true that a quasivariety generated by a finitely generated torsion-free
10.11	38	0	0	Is it true that every finitely presented group contains either a free subsemi-
10.12	38	0	0	Does there exist a finitely generated semigroup S with cancellation having
10.13	38	0	0	Does there exist a massive set of independent elements in a free group F2 on
10.15	39	0	0	For every (known) finite quasisimple group and every prime p, find the faithful
10.16	39	0	0	A class of groups is called a direct variety if it is closed under taking sub-
10.17	39	0	0	(M. J. Tomkinson). Let G be an F C-group whose derived subgroup is embed-
10.18	39	0	0	(M. J. Tomkinson). Let G be an F C-group which is residually in the class
10.19	39	0	0	Characterize the radical associative rings such that the set of all normal
10.20	39	0	0	In a Chevalley group of rank ⩽ 6 over a finite field of order ⩽ 9, describe
10.26	39	0	0	b) Does there exist an algorithm which decides whether the equation of the
10.27	39	0	1	a) Let t be an involution of a finite group G and suppose that the set D =
10.29	39	0	0	Describe the finite groups which contain a set of involutions D such that, for
10.31	40	0	0	Suppose that G is an algebraic group, H is a closed normal subgroup of G
10.32	40	0	0	A group word is said to be universal on a group G if its values on G run
10.34	40	1	1	Does there exist a non-soluble finite group which coincides with the product
10.35	40	0	0	Is it true that every finitely generated torsion-free subgroup of GLn (C) is
10.36	40	0	0	Is it true that SLn (Z[x1 , . . . , xr ]), for n sufficiently large, is a group of type
10.38	40	0	0	(W. van der Kallen). Does En+3 (Z[x1 , . . . , xn ]), n ⩾ 1, have finite breadth
10.39	40	0	0	a) Is the membership problem soluble for the subgroup En (R) of SLn (R)
10.40	41	0	0	P(H. Bass). Let G be a group, e an idempotent matrix over ZG and let
10.42	41	0	0	(J. T. Stafford). Let G be a poly-Z-group and let k be a field. Is it true that
10.43	41	0	1	Let R and S be associative rings with identity such that 2 is invertible in S.
10.44	41	0	0	Prove that every standard homomorphism Λ of En (R) ⊂ GLn (R) = GL(V )
10.45	41	0	0	Let n ⩾ 3 and suppose that N is a subgroup of GLn (R) which is normalized
10.46	41	0	0	Prove that for every element σ ∈ GLn (R), n ⩾ 3, there exist transvections
10.47	42	0	0	Describe the automorphisms of P E2 (R) in the case where the ring R is
10.49	42	0	0	Does there exist a group G satisfying the following four conditions:
10.50	42	0	0	Complex characters of a finite group G induced by linear characters of cyclic
10.51	42	0	0	Describe the structure of thin abelian p-groups. Such a description is known
10.52	42	0	0	(R. Mines). It is well known that the topology on the completion of an abelian
10.53	42	0	0	(M. Dugas). Let R be the Reid class, i. e. the smallest containing Z and
10.54	42	0	0	(R. Göbel). For a cardinal number µ, let
10.55	42	0	0	(A. Mader). “Standard B”, that is, B = Z(p) ⊕ Z(p2 ) ⊕ · · · , is slender as
10.57	43	0	0	What are the minimal non-A-formations? An A-formation is, by definition,
10.58	43	0	0	Is the subsemigroup generated by the undecomposable formations in the
10.59	43	0	0	Is a p′ -group G locally nilpotent if it admits a splitting automorphism φ of
10.60	43	0	0	Does every periodic group (p-group) A of regular automorphisms of an abelian
10.61	43	0	0	Suppose that H is a proper subgroup of a group G, a ∈ H, a2 ̸= 1 and
10.62	43	0	0	Construct an example of a (periodic) group without subgroups of index 2
10.64	43	1	1	Does there exist a non-periodic doubly transitive permutation group with a
10.65	43	0	0	Determine the structure of infinite 2-transitive permutation groups (G, Ω) in
10.67	44	0	0	The class LN Mp of locally nilpotent groups admitting a splitting automor-
10.70	44	0	0	Find a geometrical justification for the Whitehead method for free products
10.71	44	0	0	Is it true that the centralizer of any automorphism (any finite set of automor-
10.73	44	0	0	Enumerate all formations of finite groups all of whose subformations are
10.74	44	0	0	Suppose that a group G contains an element a of prime order such that its
10.75	44	0	0	Suppose that a group G contains an element a of prime order p such that
10.77	44	0	0	Suppose that G is a periodic group containing an elementary abelian subgroup
10.78	45	0	0	Does there exist a non-Chernikov group which is a product of two Chernikov
11.1	46	0	0	(Well-known problem). Describe the structure of the centralizers of unipotent
11.3	46	0	0	(M. Aschbacher). A p-local subgroup H in a group G is said to be a superlocal
11.5	46	0	0	Let k be a commutative ring and let G be a torsion-free almost polycyclic
11.7	46	0	1	a) Find conditions for a group G, given by its presentation, under which the
11.8	46	0	0	b) For a finite group X, let χ1 (X) denote the totality of the degrees of all
11.9	46	1	1	(I. I. Pyatetskiı̆-Shapiro). Does there exist a finite non-soluble group G such
11.10	46	0	0	(R. C. Lyndon). a) Does there exist an algorithm that, given a group
11.12	46	0	0	a) Suppose that G is a simple locally finite group in which the centralizer of
11.14	47	0	0	Is every finite simple group characterized by its Cartan matrix over an al-
11.15	47	0	0	It is known that for each prime number p there exists a series a1 , a2 , . . . of
11.16	47	0	0	Let Vr be the class of all finite groups G satisfying a law [x, r y] = [x, s y] for
11.17	47	0	0	Let G be a finite group and let d = d(G) be the least positive integer such
11.18	47	0	0	Let G(a, b) = ⟨x, y | x = [x, a y], y = [y, b x]⟩. Is G(a, b) finite?
11.19	47	0	0	(C. Sims). Is the nth term of the lower central series of an absolutely free group
11.22	47	0	0	Characterize all p-groups, p a prime, that can be faithfully represented as
11.23	48	0	0	An automorphism φ of a group G is called a nil-automorphism if, for every
11.25	48	0	0	b) Do there exist local Fitting classes which are decomposable into a non-
11.28	48	0	0	Suppose the prime graph of the finite group G is disconnected. (This means
11.29	48	0	0	Let F be a free group and f = ZF (F −1) the augmentation ideal of the integral
11.30	48	0	0	Is it true that the rank of a torsion-free soluble group is equal to the rank
11.31	48	0	0	Is a radical group polycyclic if it is a product of two polycyclic subgroups?
11.32	49	1	1	Describe the primitive finite linear groups that contain a matrix with simple
11.33	49	0	0	b) Let G(q) be a simple Chevalley group over a field of order q. Prove that
11.34	49	0	0	Describe the complex representations of quasisimple finite groups which re-
11.36	49	0	0	Let G = B(m, n) be the free Burnside group of rank m and of odd exponent
11.37	49	0	0	a) Can the free Burnside group B(m, n), for any m and n, be given by defining
11.38	49	0	0	Does there exist a finitely presented Noetherian group which is not almost
11.39	49	0	0	(Well-known problem). Does there exist a group which is not almost poly-
11.40	50	0	0	Prove or disprove that a torsion-free group G with the small cancellation
11.44	50	0	0	For a finite group X, we denote by r(X) its sectional rank. Is it true that the
11.45	50	0	0	A t-(v, k, λ) design D = (X, B) contains a set X of v points and a set B of
11.46	50	0	0	a) Does there exist a finite 3-group G of nilpotency class 3 with the property
11.48	50	0	0	Is the commutator [x, y, y, y, y, y, y] a product of fifth powers in the free
11.49	50	0	0	B. Hartley (Proc. London Math. Soc., 35, no. 1 (1977), 55–75) constructed
11.50	51	0	0	Let A, C be abelian groups. If A[n] = 0, i. e. for a 
11.51	51	0	0	Are there (large, non-trivial) classes X of torsion-free abelian groups such that
11.56	51	0	0	a) Does every infinite residually finite group contain an infinite abelian sub-
11.58	51	0	0	Describe the finite groups which contain a tightly embedded subgroup H such
11.59	51	0	0	A T I-subgroup A of a group G is called a subgroup of root type if [A, Ag ] = 1
11.60	51	0	0	Is it true that the hypothetical Moore graph with 3250 vertices of valence
11.61	51	0	0	Let F be a non-abelian free pro-p-group. Is it true that the subset {r ∈ F |
11.62	51	0	0	Describe the groups over which any equation is soluble. In particular, is it
11.63	52	0	0	Suppose that G is a one-relator group containing non-trivial elements of finite
11.65	52	0	0	Conjecture: any finitely generated soluble torsion-free pro-p-group with de-
11.66	52	0	0	(Yu. L. Ershov). Is the elementary theory of a free pro-p-group decidable?
11.67	52	1	1	Does there exist a torsion-free group with exactly 3 classes of conjugate
11.69	52	0	0	A group G acting on a set Ω will be said to be 1-{2}-transitive if it acts
11.70	52	0	0	Let F be an infinite field or a skew-field.
11.71	52	0	0	Let A be a finite group with a normal
11.72	52	0	0	Suppose that a variety of groups V is non-regular, that is, the free group
11.73	53	0	0	If a relatively free group is finitely presented, is it virtually nilpotent?
11.76	53	0	0	(Well-known problem). Is the group of collineations of a finite non-Desar-
